gene	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
gene	KMT2A	PBX3	TP53INP1	KLF3	RUNX1T1	CDKN1B	AFF1	ERG	DUSP1	ARID2	BMI1	MEIS1	FLI1	SP1	FLT1	ETV6	NR4A3	MAF	BASP1	CLASP1	MYCN	JARID2	TGFBR2	IGF1R	SS18L1	H3F3A	CCND2	CCNT2	ATMIN	METAP1	ELK4	TP53INP2	LASP1	MAFG	SMAD1	TCERG1	MEF2C	JMJD1C	PLAU	RUNX1	ETV5	BCL6	DUSP14	CEBPA	TP53BP2	DDX5	ETV1	CASP10	SIX4	RUNX2	USP13	USP15	IGF1	H3F3B	TAF15	MLLT3	BMP2K	METTL21A	CEBPB	SPI1	CSF1R	FOXO1	MET	CARHSP1	FUS	IL34	DDX52	METAP2	CTDSP1	USP14	TP53	ATM	MAFB	PBX1	HMGA2	NSMAF	HDAC2	DUSP10	METTL9	MAX	ERGIC2	NFIL3	USP19	PRELID2	DUSP16	MID2	DUSP13	GRID2
miR-10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	94	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	93	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-143	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	82	0	75	0	0	0	0	0	62	0	0	0	0	0	42	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-146b	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
miR-150	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	76	0	0	0	0	0	0	0	54	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	39	0
miR-155	0	0	83	69	0	0	0	0	0	90	0	86	0	0	38	0	0	0	0	0	0	92	57	0	0	83	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	73	0	0	0	62	0	0	0	0	0	0	0	0	0	0	46	87	83	82	0	0	80	0	0	0	0	0	66	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-181d	71	74	0	58	0	0	58	47	0	67	0	0	0	43	55	69	76	0	0	79	0	60	56	0	82	0	0	0	60	79	0	0	0	0	0	81	0	0	69	65	0	54	0	0	0	44	0	45	52	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	0	0	0	65	0	59	0	55	0	51	0	0	0	0	0	0	0	43	0	0
miR-182	84	75	88	0	0	0	0	66	75	60	0	0	0	0	0	0	88	77	0	0	0	0	41	91	73	0	75	0	0	0	0	82	59	0	93	0	82	91	0	0	0	0	0	78	0	0	0	0	0	0	70	63	0	0	92	0	48	0	0	0	0	82	81	0	0	0	0	0	69	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
miR-193b	75	0	61	0	83	0	0	0	0	0	0	0	82	0	0	70	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-199b	0	0	0	0	58	68	0	0	0	49	0	0	0	65	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	48	48	0	0	0	0	0
miR-200a	71	0	77	54	0	0	56	70	58	0	0	0	52	0	0	0	0	0	0	0	0	0	0	61	0	0	76	64	0	0	0	0	0	0	0	85	0	67	0	84	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	46	0	0	0	0
